Date,Open,High,Low,Close,Adj Close,Volume,dividend_amount,split_coefficient
2012-07-23,134.47,136.38,133.84,135.09,113.664747325,144901109,0.0,1.0
2012-07-24,135.19,135.25,133.03,133.93,112.688723142,173030103,0.0,1.0
2012-07-25,134.21,134.56,133.25,133.96,112.713965146,129041882,0.0,1.0
2012-07-26,135.89,136.46,135.26,136.17,114.573459495,156221922,0.0,1.0
2012-07-27,136.89,139.07,136.14,138.68,116.685373891,236689679,0.0,1.0
2012-07-30,138.52,139.34,138.27,138.68,116.685373891,106715402,0.0,1.0
2012-07-31,138.49,138.87,137.71,137.71,115.869215738,120507272,0.0,1.0
2012-08-01,138.7,138.73,137.4,137.59,115.768247719,138192791,0.0,1.0
2012-08-02,136.55,137.57,135.58,136.64,114.968917569,199418419,0.0,1.0
2012-08-03,138.56,139.64,136.68,139.35,117.249111997,157710313,0.0,1.0
2012-08-06,139.72,140.17,139.56,139.62,117.47629004,85244038,0.0,1.0
2012-08-07,140.18,140.92,140.03,140.32,118.06527015,109434310,0.0,1.0
2012-08-08,139.85,140.65,139.81,140.49,118.208308177,89648652,0.0,1.0
2012-08-09,140.29,140.89,140.15,140.61,118.309276196,90094828,0.0,1.0
2012-08-10,140.04,140.89,139.81,140.84,118.502798232,99737237,0.0,1.0
2012-08-13,140.6,140.84,140.04,140.77,118.443900221,79352310,0.0,1.0
2012-08-14,141.29,141.38,140.37,140.79,118.460728224,102210603,0.0,1.0
2012-08-15,140.64,141.19,140.55,140.95,118.59535225,71012147,0.0,1.0
2012-08-16,141.15,142.16,140.8,141.99,119.470408414,111977601,0.0,1.0
2012-08-17,142.23,142.3,141.86,142.18,119.630274444,90784837,0.0,1.0
2012-08-20,141.98,142.22,141.59,142.19,119.638688445,78199468,0.0,1.0
2012-08-21,142.54,143.09,141.45,141.76,119.276886378,105399601,0.0,1.0
2012-08-22,141.4,142.05,141.07,141.82,119.327370387,132950820,0.0,1.0
2012-08-23,141.47,141.48,140.44,140.66,118.351346204,111378827,0.0,1.0
2012-08-24,140.31,141.83,140.22,141.51,119.066536338,99416396,0.0,1.0
2012-08-27,141.89,142.08,141.34,141.54,119.091778343,68716759,0.0,1.0
2012-08-28,141.18,141.84,140.97,141.4,118.973982321,75623274,0.0,1.0
2012-08-29,141.52,141.89,141.12,141.51,119.066536338,65396086,0.0,1.0
2012-08-30,140.9,140.94,140.19,140.49,118.208308177,96477807,0.0,1.0
2012-08-31,141.29,141.82,140.36,141.16,118.772046283,151904556,0.0,1.0
2012-09-04,141.04,141.46,140.13,141.03,118.662664262,119620349,0.0,1.0
2012-09-05,141.09,141.47,140.63,140.91,118.561696243,100482344,0.0,1.0
2012-09-06,141.76,143.78,141.75,143.77,120.968100695,157982836,0.0,1.0
2012-09-07,144.01,144.39,143.88,144.33,121.439284783,107218047,0.0,1.0
2012-09-10,144.19,144.44,143.46,143.51,120.749336654,86274348,0.0,1.0
2012-09-11,143.6,144.37,143.56,143.91,121.085896717,88581396,0.0,1.0
2012-09-12,144.39,144.55,143.9,144.39,121.489768793,87596498,0.0,1.0
2012-09-13,144.37,147.04,143.99,146.59,123.34084914,225243763,0.0,1.0
2012-09-14,146.88,148.11,146.76,147.24,123.887759243,169672999,0.0,1.0
2012-09-17,146.94,147.19,146.37,146.74,123.467059164,119136952,0.0,1.0
2012-09-18,146.49,146.81,146.25,146.62,123.366091145,98293358,0.0,1.0
2012-09-19,146.79,147.17,146.41,146.7,123.433403157,128175304,0.0,1.0
2012-09-20,146.03,146.79,145.63,146.71,123.441817159,153893195,0.0,1.0
2012-09-21,146.64,146.67,145.81,145.87,123.390870379,108585503,0.7794,1.0
2012-09-24,145.15,145.98,145.04,145.65,123.204773228,95622709,0.0,1.0
2012-09-25,145.96,146.24,144.06,144.1,121.893634206,133060270,0.0,1.0
2012-09-26,144.07,144.11,142.95,143.29,121.20845833,146283598,0.0,1.0
2012-09-27,143.89,144.97,143.51,144.64,122.350418123,111654225,0.0,1.0
2012-09-28,144.09,144.56,143.46,143.97,121.783667708,150664142,0.0,1.0
2012-10-01,144.52,145.69,144.01,144.35,122.105108242,135858200,0.0,1.0
2012-10-02,144.92,145.15,143.83,144.5,122.231992663,113346235,0.0,1.0
2012-10-03,144.89,145.43,144.13,145.09,122.731071388,121026475,0.0,1.0
2012-10-04,145.64,146.34,145.44,146.13,123.610803377,124255532,0.0,1.0
2012-10-05,146.91,147.16,145.7,146.14,123.619262338,124661611,0.0,1.0
2012-10-08,145.6,146.12,145.31,145.64,123.196314266,78257959,0.0,1.0
2012-10-09,145.53,145.65,144.15,144.2,121.978223821,148520522,0.0,1.0
2012-10-10,144.18,144.32,143.09,143.28,121.199999369,123906096,0.0,1.0
2012-10-11,144.28,144.49,143.33,143.36,121.26767106,123539819,0.0,1.0
2012-10-12,143.46,143.95,142.58,142.89,120.870099873,124063714,0.0,1.0
2012-10-15,143.23,144.23,142.77,144.08,121.876716283,107448207,0.0,1.0
2012-10-16,144.76,145.64,144.66,145.54,123.111724652,108612021,0.0,1.0
2012-10-17,145.64,146.32,145.42,146.2,123.670016107,128757819,0.0,1.0
2012-10-18,145.82,146.52,145.33,145.82,123.348575572,147982555,0.0,1.0
2012-10-19,145.55,145.56,143.05,143.39,121.293047945,185459471,0.0,1.0
2012-10-22,143.15,143.67,142.28,143.41,121.309965868,125401781,0.0,1.0
2012-10-23,141.86,142.06,140.83,141.42,119.626632543,191909488,0.0,1.0
2012-10-24,141.93,142.1,140.8,141.02,119.288274086,119929435,0.0,1.0
2012-10-25,142.02,142.28,140.57,141.43,119.635091504,134167644,0.0,1.0
2012-10-26,141.3,141.84,140.39,141.35,119.567419813,146001865,0.0,1.0
2012-10-31,141.85,142.03,140.68,141.35,119.567419813,103253290,0.0,1.0
2012-11-01,141.65,143.01,141.52,142.83,120.819346105,100929973,0.0,1.0
2012-11-02,143.68,143.72,141.41,141.56,119.745058003,137651914,0.0,1.0
2012-11-05,141.35,142.17,140.93,141.85,119.990367884,98318459,0.0,1.0
2012-11-06,142.28,143.52,142.13,142.96,120.929312603,106563909,0.0,1.0
2012-11-07,141.66,141.68,139.06,139.72,118.1886091,263929703,0.0,1.0
2012-11-08,139.7,140.41,137.93,138.04,116.76750358,181351566,0.0,1.0
2012-11-09,137.62,139.44,137.55,138.16,116.869011117,200950904,0.0,1.0
